Rep,aap,aap.date,source.plant,iap,iap.end,cage.prescreen,date.culturing,infected,xf.pop
1,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,123.75
2,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
3,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
4,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
5,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
6,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
7,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
8,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
9,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
10,1.5,8/19/2015,PP25,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
11,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
12,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
13,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
14,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
15,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
16,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
17,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
18,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
19,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,NA
20,1.5,8/19/2015,PP10,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
21,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
22,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
23,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,1,6.25
24,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,29.75
25,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,12.5
26,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,6.75
27,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,11.375
28,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,20.375
29,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,24.5
30,1.5,8/19/2015,PP27,48,8/21/2015,"1,2,3,4",10/21/2015,0,0
31,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8 ",10/21/2015,0,0
32,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
33,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
34,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
35,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
36,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
37,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
38,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
39,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
40,4.5,8/19/2015,PP25,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
41,4.5,8/19/2015,PP10,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
42,4.5,8/19/2015,PP10,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
43,4.5,8/19/2015,PP10,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
44,4.5,8/19/2015,PP10,48,8/21/2015,"5,6,7,8",10/21/2015,0,NA
45,4.5,8/19/2015,PP10,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
46,4.5,8/19/2015,PP10,48,8/21/2015,"5,6,7,8",10/21/2015,0,0
